Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9776495, Lgt: -38.4554056, Tipo: clothes, Nome: Mahalo
Lat: -12.9780002, Lgt: -38.4562646, Tipo: toys, Nome: BMart
Lat: -12.9781271, Lgt: -38.4560680, Tipo: toys, Nome: Ri Happy
Lat: -12.9835788, Lgt: -38.4539784, Tipo: clinic, Nome: Clínica Osmilto Brandão
Lat: -12.9820576, Lgt: -38.4590932, Tipo: computer, Nome: Login
Lat: -12.9831350, Lgt: -38.4596965, Tipo: community_centre, Nome: Brinkaê
Lat: -12.9829519, Lgt: -38.4595990, Tipo: restaurant, Nome: A Casa Vidal
Lat: -12.9837650, Lgt: -38.4579367, Tipo: interior_decoration, Nome: Essence in home
Lat: -12.9836543, Lgt: -38.4580570, Tipo: furniture, Nome: Líder
Lat: -12.9828980, Lgt: -38.4588190, Tipo: interior_decoration, Nome: Bagdá
Lat: -12.9827689, Lgt: -38.4588250, Tipo: interior_decoration, Nome: Kachepot
Lat: -12.9824091, Lgt: -38.4588029, Tipo: mall, Nome: Espaço Conceito
Lat: -12.9831495, Lgt: -38.4587775, Tipo: books, Nome: Disal Livraria
Lat: -12.9833582, Lgt: -38.4586511, Tipo: interior_decoration, Nome: Empório Magma
Lat: -12.9838298, Lgt: -38.4582735, Tipo: furniture, Nome: Natuzzi Italia
Lat: -12.9790345, Lgt: -38.4578924, Tipo: restaurant, Nome: Barbacoa
Lat: -12.9823603, Lgt: -38.4592519, Tipo: clinic, Nome: Instituto de Medicina Eficiente
Lat: -12.9817670, Lgt: -38.4588221, Tipo: flooring, Nome: Bikatto Acabamentos
Lat: -12.9782410, Lgt: -38.4554536, Tipo: furniture, Nome: Tok&Stok Studio
Lat: -12.9777324, Lgt: -38.4556338, Tipo: cafe, Nome: Viva Gula
Lat: -12.9790082, Lgt: -38.4536265, Tipo: restaurant, Nome: Mariposa
Lat: -12.9798390, Lgt: -38.4524441, Tipo: cafe, Nome: Café do Chef
Lat: -12.9789165, Lgt: -38.4605313, Tipo: fast_food, Nome: Subway
Lat: -12.9787470, Lgt: -38.4544467, Tipo: health_food, Nome: Bio Mundo
Lat: -12.9782934, Lgt: -38.4544218, Tipo: books, Nome: Leitura
Lat: -12.9813250, Lgt: -38.4540296, Tipo: language_school, Nome: Beetools
Lat: -12.9819037, Lgt: -38.4540015, Tipo: copyshop, Nome: Gráfica Registro
Lat: -12.9818531, Lgt: -38.4539403, Tipo: restaurant, Nome: Terraço
Lat: -12.9776536, Lgt: -38.4560062, Tipo: cafe, Nome: Healthy por Victoria Cintra
Lat: -12.9783418, Lgt: -38.4555736, Tipo: bureau_de_change, Nome: Labor Câmbio
Lat: -12.9786327, Lgt: -38.4536078, Tipo: restaurant, Nome: Madero
Lat: -12.9785127, Lgt: -38.4537460, Tipo: fast_food, Nome: Spoleto
Lat: -12.9786737, Lgt: -38.4534527, Tipo: restaurant, Nome: Oliva Gourmet
Lat: -12.9788577, Lgt: -38.4532673, Tipo: restaurant, Nome: Tokai
Lat: -12.9776388, Lgt: -38.4558162, Tipo: optician, Nome: Óticas Carol
